i>>?#,,RAZON SOCIAL,,,,CALLE Y NAMERO,COLONIA,MUNICIPIO,CADIGO POSTAL,ESTADO,No. LICENCIA,FECHA LICENCIA,CLASIFICACION O GIRO,,,,LINEAS AUTORIZADAS,,,,,,
55,,"MICRO   S.A   DE   C.V   (MICROCEL   80,ANTIXIDANTE   SP,DISMIC 9,DISPERMIC Z)",,,,EMILIANO ZAPATA No. 1,SAN LORENZO RIO TENCO,CUAUTITLAN,54713,MEXICO,04FQBO150240002,27/01/2004,FABRICACIAN DE PRODUCTOS QUAMICOS BASICOS ORGANICOS,,,,"VULMIC      MS,TMT,ZDE,ZDB,H,TET,TETRA,ZDM,RGX,SDB,INOX      LIQUIDO,INOX      EF      EN EMULSION,EN           POLVO,NI,MICROTARD           A,W,MICROCEL           PM,93,MICROCCELER G,AG,MICROPLAST,FACTICIO        CAFE,CAFE       R,CAFE        DM,BLANCO        B,C,VESPERAC R,LUBRICANTE NO.10,MICROCIDE N,TIURANIL E",,,,,,
56,,MISSION HILLS S.A. DE C.V.,,,,"CARRET.  FED.  57  KM.  47  CARR.  ENTRONCAL  A SAN  JOSE  ITURBIDE  GUANAJUATO,  KM.  0.8  SAN JOSE ITURBIDE GUANAJUATO",LA CANTERA,SAN JOSE ITURBIDE,37098,GUANAJUATO,05FQBO110320010,26/08/2005,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"ALQUILSULFATOS, ALQUILSULFONATOS, ACIDO SULFONICO",,,,,,
57,,MOLIENDAS TIZAYUCA  S.A DE C.V,,,,LOTE 7  MANZANA V,FRACCIONAMIENTO INDUSTRIAL TIZAYUCA,TIZAYUCA,43800,HIDALGO,94059,22/07/1994,"COMPRAVENTA,   BENEFICIO   Y   MOLIENDA   DE   MATERIALES   NO   METALICOS   Y   ELABORACION   DE SULFATO",,,,NO DISPONIBLE,,,,,,
58,,"NITROAMONIA DE MEXICO, S.A. DE C.V.",,,,PROLONGACION FERTILIZANTES No. 1802,INDUSTRIAL,MONCLOVA,25760,COAHUILA,06FQBI050180005,28/04/2006,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANCOS,,,,ACIDO NITRICO Y NITRATO DE AMONIO,,,,,,
59,,ORGANO SINTESIS S. A. DE  C. V,,,,"KM   10.8,   CARR   DE  AMOMOLUCO   A  SANTIAGO TIANGUISTENCO",SAN NICOLAS TLAZALA,CAPULHUAC,52700,MEXICO,06FQBO150190004,24/05/2006,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"SALES   CUATERNARIAS   DE   AMONIO,   OXIDOS   DE   AMINA,   DIFENIL   UREAS,   BETAINAS, CLOROFENOLES",,,,,,
60,,"OXIQUIMICA, S.A DE C.V.",,,,CORREDOR INDUSTRIAL QUETZALCOATL No. 6,SAN BALTAZAR TEMAXCALAC,SAN MARTIN TEXMELUCAN,74126,PUEBLA,08FQBO211320007,18/12/2014,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"FABRICACION   DE   ASTERES   NO   AROMATICOS,   ASTERES   AROMATICOS,   ASTERES   NO AROMATICOS CACLICOS, ALDEHADOS AROMATICOS.",,,,,,
61,,OXITENO MEXICO S.A. DE C.V.,,,,KM. 1.6 CARRETERA SAN MARTIN DE LAS FLORES,SAN MARTIN DE LAS FLORES,TLAQUEPAQUE,45620,JALISCO.,07FQBO140980004,13/11/2007,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"FABRICACION DE ESTERES GRASOS, ACIDOS GRASOS ETOXILADOS, ALCOHOLES GRASOS ETOXILADOS, ALQUIL FENOLES EXTOXILADOS, AMINAS Y POLIETILENGLICOLES",,,,,,
62,,"OXITENO MEXICO, S.A. DE C.V.",,,,INTERIOR DEL  RECINTO FISCAL AUTORIZADO,CENTRO,COATZACOALCOS,96400,VERACRUZ,2000AR02E,21/01/2009,PRODUCTOS QUIMICOS BASICOS ORGANICOS; FABRICA DE a|,,,,NO DISPONIBLE,,,,,,
63,,PEMEX GAS Y PETROQUIMICA BASICA,,,,DOMICILIO CONOCIDO,SAN MIGUEL 2DA SECCION,REFORMA,29500,CHIAPAS,06FQBI070740001,11/05/2006,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,FABRICACION DE AZUFRE,,,,,,
64,,PEMEX      PETROQUIMICA     /      COMPLEJO      PETROQUIMICO COSOLEACAQUE,,,,CARRETERA COSTERA DEL GOLFO KM 39+400,S/C,COSOLEACAQUE,96730,VERACRUZ,06FQBO300480004,19/10/2006,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,FABRICACION DE XILENOS,,,,,,
