Timestamp,Today's date,Type of Event (select all that apply),"Where is the issue? Provide street, municipality, and state (don't include your personal information)",What is the issue?,How urgent is the situation?,How long has this been an issue?,How would you resolve this issue?,Do you have evidence? Do you have a photo?,Add link to more information,Title of Report,Do you know about when this problem begun?
5/1/2018 17:41:23,,"Waste Management (e.g,landfills, superfund sites, pollution burning)","Angostura, Sinaloa",Big landfills and bad management of the waste is creating environmental issues and is directly affecting communities.  ,10,It just emerged,Continue reporting this problem until the government decides to get the job done. ,,https://www.debate.com.mx/guamuchil/Se-plantan-vecinos-de-Alhuey-en-el-basuron-municipal-20180217-0086.html,Se plantan vecinos de Alhuey en el basurA3n municipal,2/17/2018
5/3/2018 15:51:57,,"Water pollution, Industrial belts (e.g, hazardous companies)","Angostura, Sinaloa","Black waters in agostura are affecting the people in the community. They are saying that they have black waters in the sinks of their houses, also sometimes they cant use that water because it comes out black. ",10,It just emerged,Check were the pollution to the water is coming from and propose a solution.,,https://www.debate.com.mx/guamuchil/Denuncian-contaminacion-por-aguas-negras-en-Alhuey-20171022-0105.html,Denuncian contaminaciA3n por aguas negras en Alhuey,10/22/2017
5/3/2018 15:56:44,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Dam Construction","Santa MarAa, Sinaloa",The dam project is emitting dust and other types of pollutants which is directly affecting the community of Santa Maria.,7,About one year,"Either find a way to block the dust that comes out for the explosion, stop using explosion or stopping the construction. Health of people in the community comes as a priority. ",,https://www.debate.com.mx/mazatlan/Comuneros-denuncian-contaminacion-al-aire-y-rio-Baluarte-20170513-0314.html,Comuneros denuncian contaminaciA3n al aire y rAo baluarte,5/13/2017
5/3/2018 16:01:48,,"Water pollution, Industrial belts (e.g, hazardous companies)","Arizpe, Sonora","In 2014, after the leak on a minery, Rio Sonora was highly polluted. The government promised to install 36 plants to clean the water, and then changed to 9. Not even 9 have been built to clean the water, which is affecting a lot of people. The water that comes from the river and underground bodies of water is also used as the drinking water in schools in the municipalities. ",10,Longer than one year,They have to make sure that the people in the communities are not drinking polluted water. Clean the water by installing the systems and then preventing it from happening again. ,,https://www.animalpolitico.com/2017/08/rio-sonora-contaminado-demandan/,Promesas incumplidas y pozos envenenados: asA vive la gente cerca del contaminado RAo Sonora,1/1/2014
5/3/2018 16:30:29,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Water pollution, Infrastructure projects (e.g, oil and gas pipelines)","Ures, Sonora","Grupo MA(c)xico spilled oiled and hazardous materials into the environment affecting communities and farmers. 3 years after the accident and several communities and farmers still cant get over economically. Grupo MA(c)xico promised a lot of things like implementing water treatment systems, hospitals and economic support, and at the end they did nothing compared to what they originally said.   ",10,Longer than one year,Involve a NGO to put pressure on the company and the government to fix the damage they made.,,https://noticieros.televisa.com/ultimas-noticias/grupo-mexico-incumplio-promesas-remediar-ecocidio-rio-sonora-2014/,Grupo MA(c)xico incumple promesas para remediar ecocidio en RAo Sonora ,3/1/2015
5/3/2018 16:37:26,,Water pollution,"Centro, Tabasco","Potable water is being polluted by pesticides, residual discharge and others produced by companies. This puts in danger the health of more than 400,000 people. ",10,Longer than one year,"Clean the water and address the starting point of the problem, which is the companies that are polluting the water. ",,http://www.tabascohoy.com/nota/416309/peligran-400-mil-por-metales-venenosos-en-el-rio-grijalva,Peligran 400 mil por metales venenosos en el RAo Grijalva,11/6/2017
5/3/2018 17:04:48,,"Infrastructure projects (e.g, oil and gas pipelines), Industrial belts (e.g, hazardous companies)","Huimanguillo, Tabasco","Over the past 4 years, PEMEX has been paying to farmers due to leaks of oil that affect directly the agriculture and the communities",9,Longer than one year,Check where the leaks are happening and why. Then continue fixing them until there are no more. It is a difficult problem which needs a lot of attention. Money can solve some problems but the leaks could have consequences for the communities and agricultural farms for a lot of years.,,http://www.tabascohoy.com/nota/388012/ordenan-millones-a-pemex-en-tabasco,,1/1/2013
5/3/2018 17:18:44,,Fracking,"Reynosa, Tamaulipas","The government is trying to fool the people on the real consequences that fracking brings to the environment and the health effects. NGOs like ""No Fracking Tamaulipas"" are trying to stop this by accusing the government.",8,It just emerged,This issue is already being addressed by the NGOs. I think they are doing a great job by interrogating the government and making them now that the society is not going to be fooled.,,http://elmanana.com.mx/noticia/160152/Engaan-gobiernos-sobre-el-fracking-organizacion-de-Tamaulipas.html,"EngaA+-an gobiernos sobre el ""Fracking""",2/7/2018
5/3/2018 17:27:17,,Fracking,Tamaulipas,Fracking is putting at risk Tamaulipas due to all the consequences it brings. Environmental pollution and even crime could be a cause for fracking.,10,Longer than one year,There is no simple way to solve this than putting pressure and involving NGOs to support the movement.,,http://elmanana.com.mx/noticia/138148/Tamaulipas-esta-en-riesgo-por-fracking.html,Tamaulipas esta en riesgo por fracking,
5/3/2018 17:37:36,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Water pollution","Tampico, Tamaulipas","Due to lack resources for water treatment and waste management, some municipalities in Tamaulipas are generating a lot of waste that is being harmful to the ocean, agriculture and bodies of water.",10,About one year,Invest in water and waste treatment. Start campaigns on reducing waste. ,,https://www.elsoldemexico.com.mx/republica/sociedad/severa-contaminacion-en-rios-y-lagunas-de-tamaulipas-308908.html,Severa contaminaciA3n en rAos y lagunas de Tamaulipas,11/6/2017
5/3/2018 18:01:20,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Water pollution, Infrastructure projects (e.g, oil and gas pipelines), Industrial belts (e.g, hazardous companies)","Laguna del Chairel, Tamaulipas",Black waters are polluting the body of water due to bad waste management.,10,Longer than one year,Invest in water treatment systems. ,,http://www.milenio.com/region/refineria-Madero-Altamira-danos_ecologicos-industria_0_748125285.html,"Con daA+-o, tierra, aire y agua del sur de Tamaulipas",6/1/2016
5/3/2018 18:17:57,,Fracking,Tlaxcala,Government approves the perforation of 1000 holes for fracking,10,It just emerged,NA,,https://megalopolismx.com/noticia/35625/puebla-y-tlaxcala-otorgan-permisos-indebidos-para-mil-pozos-de-fracking-ibero,Otorgan permisos indebidos para mil pozos de fracking,2/27/2018
5/3/2018 18:26:25,,Fracking,"Coatzintla, Veracruz",Fracking is going to harm several municipalities in Veracruz.,10,It just emerged,Having the support of recognized NGOs would help slow the process and at least minimize the use of fracking.  ,,http://www.laopinion.net/insisten-companias-practicar-fracking/,Insisten comaA+-ias en practicar fracking,2/19/2018
5/3/2018 18:47:18,,"Infrastructure projects (e.g, oil and gas pipelines)","Soteapan, Veracruz","More than 50 communities from Veracruz are making protests to avoid mining projects, fracking and the implementation of an wind energy park ",8,Longer than one year,Continue protesting and ask for support from NGOs to stop this from affecting their communities.,,http://www.e-veracruz.mx/nota/2017-08-17/ecologia/comunidades-de-la-sierra-de-santa-martha-van-contra-parque-eolico-y-minera,Van contra parque eA3lico y minera ,8/17/2017
5/3/2018 19:01:18,,"Water pollution, Industrial belts (e.g, hazardous companies)","Mata de CaA+-a (Paso del Tigre), Veracruz","The sugar industry is polluting water bodies, which is having a direct effect on the lives of people from several communities. The rivers being polluted are: Rio Blanco and Rio Atoyac",10,About one year,The government needs to force the companies to invest in water treatments.,,https://palabrasclaras.mx/estatal/industria-azucarera-asesina-cuerpos-agua/,Industria azucarera asesina cuerpos de agua,10/7/2017
5/3/2018 19:06:40,,"Infrastructure projects (e.g, oil and gas pipelines), Animal agriculture pollution","ChocholA!, Yucatan","The farm wants to hold 50 thousand pigs, which threatens the communities due to the pollution it brings ",10,It just emerged,"Seems like the movement they are making to avoid the construction is helping, they should continue to stand for their rights and don't let them do whatever they want. ",,http://www.yucatan.com.mx/editorial/marcha-los-mayas,Marcha con los mayas para evitar la construcciA3n de una granja porcAcola,3/5/2018
5/3/2018 19:12:53,,"Mining, Canadian mining company","Cedros, Zacatecas","Mining company PeA+-asquito, owned by the Canadian company Gold Corp, are not following the regulations. The company is affecting the agriculture and the health of the people that live in communities close to where the mining activity is happening. ",10,Longer than one year,Continue protesting and seek the help of NGOs to put pressure on the government and regulate the emissions from this company.,,http://www.milenio.com/estados/comuneros_protestan-contaminacion_de_mina-municipio_de_mazsapil_0_815318820.html,Protestan comuneros por contaminaciA3n de minera,6/21/2016
6/18/2018 11:46:28,,"Water pollution, Damage to basic services infrastructure (e.g, leaking water)","Estero del Pantano, Veracruz",A corroded pipe caused a leak of 900 cubic meters of petroleum into marshlands. Pemex tried to recover the oil and prevent further damage. This leak contaminated the water of hundreds of species and affected the livelihood of fishermen of the area. ,9,Longer than one year,Clean  area and pay reparations to locals.,,http://www.jornada.unam.mx/2016/09/11/estados/025n1est,Pemex oculta derrame de crudo en Veracruz,4/1/2016
6/18/2018 11:50:20,,"Water pollution, Infrastructure projects (e.g, oil and gas pipelines), Damage to basic services infrastructure (e.g, leaking water)","Boca del Rio, Veracruz","The Burgos ship, carrying 81,000 barrels of diesel and 23,000 barrels of gasoline, caught fire. The spill led to severe contamination of the area. ",9,Longer than one year,Clean and pay reparations,,http://www.excelsior.com.mx/nacional/2016/09/24/1118783,Se incendia buque petrolero en Veracruz,9/24/2016
5/3/2018 19:12:53,,"Mining, Canadian mining company","El Vergel, Zacatecas","Mining company PeA+-asquito, owned by the Canadian company Gold Corp, are not following the regulations. The company is affecting the agriculture and the health of the people that live in communities close to where the mining activity is happening. ",10,Longer than one year,Continue protesting and seek the help of NGOs to put pressure on the government and regulate the emissions from this company.,,http://www.milenio.com/estados/comuneros_protestan-contaminacion_de_mina-municipio_de_mazsapil_0_815318820.html,Protestan comuneros por contaminaciA3n de minera,6/21/2016
5/3/2018 19:12:53,,"Mining, Canadian mining company","Matamoros, Zacatecas","Mining company PeA+-asquito, owned by the Canadian company Gold Corp, are not following the regulations. The company is affecting the agriculture and the health of the people that live in communities close to where the mining activity is happening. ",10,Longer than one year,Continue protesting and seek the help of NGOs to put pressure on the government and regulate the emissions from this company.,,http://www.milenio.com/estados/comuneros_protestan-contaminacion_de_mina-municipio_de_mazsapil_0_815318820.html,Protestan comuneros por contaminaciA3n de minera,6/21/2016
5/3/2018 19:12:53,,"Mining, Canadian mining company","Tecolotes, Zacatecas","Mining company PeA+-asquito, owned by the Canadian company Gold Corp, are not following the regulations. The company is affecting the agriculture and the health of the people that live in communities close to where the mining activity is happening. ",10,Longer than one year,Continue protesting and seek the help of NGOs to put pressure on the government and regulate the emissions from this company.,,http://www.milenio.com/estados/comuneros_protestan-contaminacion_de_mina-municipio_de_mazsapil_0_815318820.html,Protestan comuneros por contaminaciA3n de minera,6/21/2016
5/3/2018 19:12:53,,"Mining, Canadian mining company","Cerro Gordo, Zacatecas","Mining company PeA+-asquito, owned by the Canadian company Gold Corp, are not following the regulations. The company is affecting the agriculture and the health of the people that live in communities close to where the mining activity is happening. ",10,Longer than one year,Continue protesting and seek the help of NGOs to put pressure on the government and regulate the emissions from this company.,,http://www.milenio.com/estados/comuneros_protestan-contaminacion_de_mina-municipio_de_mazsapil_0_815318820.html,Protestan comuneros por contaminaciA3n de minera,6/21/2016
5/3/2018 19:06:40,,"Infrastructure projects (e.g, oil and gas pipelines), Animal agriculture pollution","HomAon, Yucatan","The farm wants to hold 50 thousand pigs, which threatens the communities due to the pollution it brings ",10,It just emerged,"Seems like the movement they are making to avoid the construction is helping, they should continue to stand for their rights and don't let them do whatever they want. ",,http://www.yucatan.com.mx/editorial/marcha-los-mayas,Marcha con los mayas para evitar la construcciA3n de una granja porcAcola,3/5/2018
5/3/2018 19:01:18,,"Water pollution, Industrial belts (e.g, hazardous companies)","Paso del Macho, Veracruz","The sugar industry is polluting water bodies, which is having a direct effect on the lives of people from several communities. The rivers being polluted are: Rio Blanco and Rio Atoyac",10,About one year,The government needs to force the companies to invest in water treatments.,,https://palabrasclaras.mx/estatal/industria-azucarera-asesina-cuerpos-agua/,Industria azucarera asesina cuerpos de agua,10/7/2017
5/3/2018 18:47:18,,"Infrastructure projects (e.g, oil and gas pipelines)","Mecayapan, Veracruz","More than 50 communities from Veracruz are making protests to avoid mining projects, fracking and the implementation of an wind energy park ",8,Longer than one year,Continue protesting and ask for support from NGOs to stop this from affecting their communities.,,http://www.e-veracruz.mx/nota/2017-08-17/ecologia/comunidades-de-la-sierra-de-santa-martha-van-contra-parque-eolico-y-minera,Van contra parque eA3lico y minera ,8/17/2017
5/3/2018 18:47:18,,"Infrastructure projects (e.g, oil and gas pipelines)","Tatahuicapan, Veracruz","More than 50 communities from Veracruz are making protests to avoid mining projects, fracking and the implementation of an wind energy park ",8,Longer than one year,Continue protesting and ask for support from NGOs to stop this from affecting their communities.,,http://www.e-veracruz.mx/nota/2017-08-17/ecologia/comunidades-de-la-sierra-de-santa-martha-van-contra-parque-eolico-y-minera,Van contra parque eA3lico y minera ,8/17/2017
5/3/2018 18:47:18,,"Infrastructure projects (e.g, oil and gas pipelines)","Pajapan, Veracruz","More than 50 communities from Veracruz are making protests to avoid mining projects, fracking and the implementation of an wind energy park ",8,Longer than one year,Continue protesting and ask for support from NGOs to stop this from affecting their communities.,,http://www.e-veracruz.mx/nota/2017-08-17/ecologia/comunidades-de-la-sierra-de-santa-martha-van-contra-parque-eolico-y-minera,Van contra parque eA3lico y minera ,8/17/2017
5/3/2018 18:47:18,,"Infrastructure projects (e.g, oil and gas pipelines)","Hueyapan de Ocampo, Veracruz","More than 50 communities from Veracruz are making protests to avoid mining projects, fracking and the implementation of an wind energy park ",8,Longer than one year,Continue protesting and ask for support from NGOs to stop this from affecting their communities.,,http://www.e-veracruz.mx/nota/2017-08-17/ecologia/comunidades-de-la-sierra-de-santa-martha-van-contra-parque-eolico-y-minera,Van contra parque eA3lico y minera ,8/17/2017
5/3/2018 18:26:25,,Fracking,"Tihuatlan, Veracruz",Fracking is going to harm several municipalities in Veracruz.,10,It just emerged,Having the support of recognized NGOs would help slow the process and at least minimize the use of fracking.  ,,http://www.laopinion.net/insisten-companias-practicar-fracking/,Insisten comaA+-ias en practicar fracking,2/19/2018
5/3/2018 18:26:25,,Fracking,"Poza Rica, Veracruz",Fracking is going to harm several municipalities in Veracruz.,10,It just emerged,Having the support of recognized NGOs would help slow the process and at least minimize the use of fracking.  ,,http://www.laopinion.net/insisten-companias-practicar-fracking/,Insisten comaA+-ias en practicar fracking,2/19/2018
5/3/2018 18:26:25,,Fracking,"Papantla, Veracruz",Fracking is going to harm several municipalities in Veracruz.,10,It just emerged,Having the support of recognized NGOs would help slow the process and at least minimize the use of fracking.  ,,http://www.laopinion.net/insisten-companias-practicar-fracking/,Insisten comaA+-ias en practicar fracking,2/19/2018
5/3/2018 18:26:25,,Fracking,"Gutierrez Zamora, Veracruz",Fracking is going to harm several municipalities in Veracruz.,10,It just emerged,Having the support of recognized NGOs would help slow the process and at least minimize the use of fracking.  ,,http://www.laopinion.net/insisten-companias-practicar-fracking/,Insisten comaA+-ias en practicar fracking,2/19/2018
5/3/2018 18:26:25,,Fracking,"Tecolutla, Veracruz",Fracking is going to harm several municipalities in Veracruz.,10,It just emerged,Having the support of recognized NGOs would help slow the process and at least minimize the use of fracking.  ,,http://www.laopinion.net/insisten-companias-practicar-fracking/,Insisten comaA+-ias en practicar fracking,2/19/2018
5/3/2018 17:37:36,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Water pollution","Madero, Tamaulipas","Due to lack resources for water treatment and waste management, some municipalities in Tamaulipas are generating a lot of waste that is being harmful to the ocean, agriculture and bodies of water.",10,About one year,Invest in water and waste treatment. Start campaigns on reducing waste. ,,https://www.elsoldemexico.com.mx/republica/sociedad/severa-contaminacion-en-rios-y-lagunas-de-tamaulipas-308908.html,Severa contaminaciA3n en rAos y lagunas de Tamaulipas,11/6/2017
5/3/2018 17:37:36,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Water pollution","Altamira, Tamaulipas","Due to lack resources for water treatment and waste management, some municipalities in Tamaulipas are generating a lot of waste that is being harmful to the ocean, agriculture and bodies of water.",10,About one year,Invest in water and waste treatment. Start campaigns on reducing waste. ,,https://www.elsoldemexico.com.mx/republica/sociedad/severa-contaminacion-en-rios-y-lagunas-de-tamaulipas-308908.html,Severa contaminaciA3n en rAos y lagunas de Tamaulipas,11/6/2017
5/3/2018 17:04:48,,"Infrastructure projects (e.g, oil and gas pipelines), Industrial belts (e.g, hazardous companies)","Cardenas, Tabasco","Over the past 4 years, PEMEX has been paying to farmers due to leaks of oil that affect directly the agriculture and the communities",9,Longer than one year,Check where the leaks are happening and why. Then continue fixing them until there are no more. It is a difficult problem which needs a lot of attention. Money can solve some problems but the leaks could have consequences for the communities and agricultural farms for a lot of years.,,http://www.tabascohoy.com/nota/388012/ordenan-millones-a-pemex-en-tabasco,,1/1/2013
5/3/2018 17:04:48,,"Infrastructure projects (e.g, oil and gas pipelines), Industrial belts (e.g, hazardous companies)","CunduacA!n, Tabasco","Over the past 4 years, PEMEX has been paying to farmers due to leaks of oil that affect directly the agriculture and the communities",9,Longer than one year,Check where the leaks are happening and why. Then continue fixing them until there are no more. It is a difficult problem which needs a lot of attention. Money can solve some problems but the leaks could have consequences for the communities and agricultural farms for a lot of years.,,http://www.tabascohoy.com/nota/388012/ordenan-millones-a-pemex-en-tabasco,,1/1/2013
5/3/2018 17:04:48,,"Infrastructure projects (e.g, oil and gas pipelines), Industrial belts (e.g, hazardous companies)","Macuspana, Tabasco","Over the past 4 years, PEMEX has been paying to farmers due to leaks of oil that affect directly the agriculture and the communities",9,Longer than one year,Check where the leaks are happening and why. Then continue fixing them until there are no more. It is a difficult problem which needs a lot of attention. Money can solve some problems but the leaks could have consequences for the communities and agricultural farms for a lot of years.,,http://www.tabascohoy.com/nota/388012/ordenan-millones-a-pemex-en-tabasco,,1/1/2013
5/3/2018 17:04:48,,"Infrastructure projects (e.g, oil and gas pipelines), Industrial belts (e.g, hazardous companies)","Comalcalco, Tabasco","Over the past 4 years, PEMEX has been paying to farmers due to leaks of oil that affect directly the agriculture and the communities",9,Longer than one year,Check where the leaks are happening and why. Then continue fixing them until there are no more. It is a difficult problem which needs a lot of attention. Money can solve some problems but the leaks could have consequences for the communities and agricultural farms for a lot of years.,,http://www.tabascohoy.com/nota/388012/ordenan-millones-a-pemex-en-tabasco,,1/1/2013
5/3/2018 17:04:48,,"Infrastructure projects (e.g, oil and gas pipelines), Industrial belts (e.g, hazardous companies)","Jonuta, Tabasco","Over the past 4 years, PEMEX has been paying to farmers due to leaks of oil that affect directly the agriculture and the communities",9,Longer than one year,Check where the leaks are happening and why. Then continue fixing them until there are no more. It is a difficult problem which needs a lot of attention. Money can solve some problems but the leaks could have consequences for the communities and agricultural farms for a lot of years.,,http://www.tabascohoy.com/nota/388012/ordenan-millones-a-pemex-en-tabasco,,1/1/2013
5/3/2018 17:04:48,,"Infrastructure projects (e.g, oil and gas pipelines), Industrial belts (e.g, hazardous companies)","Nacajuca, Tabasco","Over the past 4 years, PEMEX has been paying to farmers due to leaks of oil that affect directly the agriculture and the communities",9,Longer than one year,Check where the leaks are happening and why. Then continue fixing them until there are no more. It is a difficult problem which needs a lot of attention. Money can solve some problems but the leaks could have consequences for the communities and agricultural farms for a lot of years.,,http://www.tabascohoy.com/nota/388012/ordenan-millones-a-pemex-en-tabasco,,1/1/2013
5/3/2018 17:04:48,,"Infrastructure projects (e.g, oil and gas pipelines), Industrial belts (e.g, hazardous companies)","Huimanguillo, Tabasco","Over the past 4 years, PEMEX has been paying to farmers due to leaks of oil that affect directly the agriculture and the communities",9,Longer than one year,Check where the leaks are happening and why. Then continue fixing them until there are no more. It is a difficult problem which needs a lot of attention. Money can solve some problems but the leaks could have consequences for the communities and agricultural farms for a lot of years.,,http://www.tabascohoy.com/nota/388012/ordenan-millones-a-pemex-en-tabasco,,1/1/2013
5/3/2018 16:30:29,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Water pollution, Infrastructure projects (e.g, oil and gas pipelines)","Huepac, Sonora","Grupo MA(c)xico spilled oiled and hazardous materials into the environment affecting communities and farmers. 3 years after the accident and several communities and farmers still cant get over economically. Grupo MA(c)xico promised a lot of things like implementing water treatment systems, hospitals and economic support, and at the end they did nothing compared to what they originally said.   ",10,Longer than one year,Involve a NGO to put pressure on the company and the government to fix the damage they made.,,https://noticieros.televisa.com/ultimas-noticias/grupo-mexico-incumplio-promesas-remediar-ecocidio-rio-sonora-2014/,Grupo MA(c)xico incumple promesas para remediar ecocidio en RAo Sonora ,3/1/2015
5/3/2018 16:01:48,,"Water pollution, Industrial belts (e.g, hazardous companies)","BanA!michi, Sonora","In 2014, after the leak on a minery, Rio Sonora was highly polluted. The government promised to install 36 plants to clean the water, and then changed to 9. Not even 9 have been built to clean the water, which is affecting a lot of people. The water that comes from the river and underground bodies of water is also used as the drinking water in schools in the municipalities. ",10,Longer than one year,They have to make sure that the people in the communities are not drinking polluted water. Clean the water by installing the systems and then preventing it from happening again. ,,https://www.animalpolitico.com/2017/08/rio-sonora-contaminado-demandan/,Promesas incumplidas y pozos envenenados: asA vive la gente cerca del contaminado RAo Sonora,1/1/2014
5/3/2018 16:01:48,,"Water pollution, Industrial belts (e.g, hazardous companies)","Huepac, Sonora","In 2014, after the leak on a minery, Rio Sonora was highly polluted. The government promised to install 36 plants to clean the water, and then changed to 9. Not even 9 have been built to clean the water, which is affecting a lot of people. The water that comes from the river and underground bodies of water is also used as the drinking water in schools in the municipalities. ",10,Longer than one year,They have to make sure that the people in the communities are not drinking polluted water. Clean the water by installing the systems and then preventing it from happening again. ,,https://www.animalpolitico.com/2017/08/rio-sonora-contaminado-demandan/,Promesas incumplidas y pozos envenenados: asA vive la gente cerca del contaminado RAo Sonora,1/1/2014
5/3/2018 16:01:48,,"Water pollution, Industrial belts (e.g, hazardous companies)","San Felipe de JesAos, Sonora","In 2014, after the leak on a minery, Rio Sonora was highly polluted. The government promised to install 36 plants to clean the water, and then changed to 9. Not even 9 have been built to clean the water, which is affecting a lot of people. The water that comes from the river and underground bodies of water is also used as the drinking water in schools in the municipalities. ",10,Longer than one year,They have to make sure that the people in the communities are not drinking polluted water. Clean the water by installing the systems and then preventing it from happening again. ,,https://www.animalpolitico.com/2017/08/rio-sonora-contaminado-demandan/,Promesas incumplidas y pozos envenenados: asA vive la gente cerca del contaminado RAo Sonora,1/1/2014
5/3/2018 16:01:48,,"Water pollution, Industrial belts (e.g, hazardous companies)","Aconchi, Sonora","In 2014, after the leak on a minery, Rio Sonora was highly polluted. The government promised to install 36 plants to clean the water, and then changed to 9. Not even 9 have been built to clean the water, which is affecting a lot of people. The water that comes from the river and underground bodies of water is also used as the drinking water in schools in the municipalities. ",10,Longer than one year,They have to make sure that the people in the communities are not drinking polluted water. Clean the water by installing the systems and then preventing it from happening again. ,,https://www.animalpolitico.com/2017/08/rio-sonora-contaminado-demandan/,Promesas incumplidas y pozos envenenados: asA vive la gente cerca del contaminado RAo Sonora,1/1/2014
5/3/2018 16:01:48,,"Water pollution, Industrial belts (e.g, hazardous companies)","BaviA!cora, Sonora","In 2014, after the leak on a minery, Rio Sonora was highly polluted. The government promised to install 36 plants to clean the water, and then changed to 9. Not even 9 have been built to clean the water, which is affecting a lot of people. The water that comes from the river and underground bodies of water is also used as the drinking water in schools in the municipalities. ",10,Longer than one year,They have to make sure that the people in the communities are not drinking polluted water. Clean the water by installing the systems and then preventing it from happening again. ,,https://www.animalpolitico.com/2017/08/rio-sonora-contaminado-demandan/,Promesas incumplidas y pozos envenenados: asA vive la gente cerca del contaminado RAo Sonora,1/1/2014
5/3/2018 16:01:48,,"Water pollution, Industrial belts (e.g, hazardous companies)","Ures, Sonora","In 2014, after the leak on a minery, Rio Sonora was highly polluted. The government promised to install 36 plants to clean the water, and then changed to 9. Not even 9 have been built to clean the water, which is affecting a lot of people. The water that comes from the river and underground bodies of water is also used as the drinking water in schools in the municipalities. ",10,Longer than one year,They have to make sure that the people in the communities are not drinking polluted water. Clean the water by installing the systems and then preventing it from happening again. ,,https://www.animalpolitico.com/2017/08/rio-sonora-contaminado-demandan/,Promesas incumplidas y pozos envenenados: asA vive la gente cerca del contaminado RAo Sonora,1/1/2014
5/1/2018 17:41:23,,"Waste Management (e.g,landfills, superfund sites, pollution burning)","Capomos, Sinaloa",Big landfills and bad management of the waste is creating environmental issues and is directly affecting communities.  ,10,It just emerged,Continue reporting this problem until the government decides to get the job done. ,,https://www.debate.com.mx/guamuchil/Se-plantan-vecinos-de-Alhuey-en-el-basuron-municipal-20180217-0086.html,Se plantan vecinos de Alhuey en el basurA3n municipal,2/17/2018
5/1/2018 17:41:23,,"Waste Management (e.g,landfills, superfund sites, pollution burning)","La Palma, Sinaloa",Big landfills and bad management of the waste is creating environmental issues and is directly affecting communities.  ,10,It just emerged,Continue reporting this problem until the government decides to get the job done. ,,https://www.debate.com.mx/guamuchil/Se-plantan-vecinos-de-Alhuey-en-el-basuron-municipal-20180217-0086.html,Se plantan vecinos de Alhuey en el basurA3n municipal,2/17/2018
5/1/2018 17:41:23,,"Waste Management (e.g,landfills, superfund sites, pollution burning)","San Isidro, Sinaloa",Big landfills and bad management of the waste is creating environmental issues and is directly affecting communities.  ,10,It just emerged,Continue reporting this problem until the government decides to get the job done. ,,https://www.debate.com.mx/guamuchil/Se-plantan-vecinos-de-Alhuey-en-el-basuron-municipal-20180217-0086.html,Se plantan vecinos de Alhuey en el basurA3n municipal,2/17/2018
5/1/2018 17:41:23,,"Waste Management (e.g,landfills, superfund sites, pollution burning)","Alhuey, Sinaloa",Big landfills and bad management of the waste is creating environmental issues and is directly affecting communities.  ,10,It just emerged,Continue reporting this problem until the government decides to get the job done. ,,https://www.debate.com.mx/guamuchil/Se-plantan-vecinos-de-Alhuey-en-el-basuron-municipal-20180217-0086.html,Se plantan vecinos de Alhuey en el basurA3n municipal,2/17/2018
5/1/2018 14:37:35,,"Mining, Gold Mining","Sierra Catorce, San Luis PotosA","San Luis PotosA is one of the main states in MA(c)xico in which gold is mined, and this brings environmental consequences like mineral waste, deforestation, community abuse, children abuse, etc. ",10,Longer than one year,"Avoiding gold mining is something that is not going to happen, but a way to help reduce the impact of this would be stop buying and investing in gold. There are many ways in which this could benefit the environment if each one of us knows the consequence that mining has. ",,http://pulsoslp.com.mx/opinion/el-costo-ecologico-del-oro/,El costo ecolA3gico del oro,
5/1/2018 14:37:35,,"Mining, Gold Mining","Charcas, San Luis PotosA","San Luis PotosA is one of the main states in MA(c)xico in which gold is mined, and this brings environmental consequences like mineral waste, deforestation, community abuse, children abuse, etc. ",10,Longer than one year,"Avoiding gold mining is something that is not going to happen, but a way to help reduce the impact of this would be stop buying and investing in gold. There are many ways in which this could benefit the environment if each one of us knows the consequence that mining has. ",,http://pulsoslp.com.mx/opinion/el-costo-ecologico-del-oro/,El costo ecolA3gico del oro,
5/1/2018 14:37:35,,"Mining, Gold Mining","Guadalcazar, San Luis PotosA","San Luis PotosA is one of the main states in MA(c)xico in which gold is mined, and this brings environmental consequences like mineral waste, deforestation, community abuse, children abuse, etc. ",10,Longer than one year,"Avoiding gold mining is something that is not going to happen, but a way to help reduce the impact of this would be stop buying and investing in gold. There are many ways in which this could benefit the environment if each one of us knows the consequence that mining has. ",,http://pulsoslp.com.mx/opinion/el-costo-ecologico-del-oro/,El costo ecolA3gico del oro,
5/1/2018 14:37:35,,"Mining, Gold Mining","Ahualulco, San Luis PotosA","San Luis PotosA is one of the main states in MA(c)xico in which gold is mined, and this brings environmental consequences like mineral waste, deforestation, community abuse, children abuse, etc. ",10,Longer than one year,"Avoiding gold mining is something that is not going to happen, but a way to help reduce the impact of this would be stop buying and investing in gold. There are many ways in which this could benefit the environment if each one of us knows the consequence that mining has. ",,http://pulsoslp.com.mx/opinion/el-costo-ecologico-del-oro/,El costo ecolA3gico del oro,
