Timestamp,Today's date,Type of Event (select all that apply),"Where is the issue? Provide street, municipality, and state (don't include your personal information)",What is the issue?,How urgent is the situation?,How long has this been an issue?,How would you resolve this issue?,Do you have evidence? Do you have a photo?,Add link to more information,Title of Report,Do you know about when this problem begun?
3/16/2018 16:18:42,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Water pollution, Industrial belts (e.g, hazardous companies)","Santiago river (states: Aguascalientes, Jalisco, Nayarit, Zacatecas)","In 2017 the PROFEPA only issued 5 sanctions against businesses that polluted the Santiago river in the state of Jalisco. This is a drastic drop from 44 sanctions in 2009 and 159 businesses since 2009. There is a lot of industrial pollution found in the river but little regulation. One problem is that businesses are given notice by CONAGUA before their inspection, letting them manipulate their polluting procedures. The highest fine was issued in 2016 to the Minera Real de Angeles for 3.65 million pesos. Of the sanction companies 37 have repeated offences, up to four times. Federal companies like PEMEX (with 5 sanctions since 2010), several hopitals, and the intermunicipal water system (SIAPA) have been fined. Where Santiago river crosses the municipality of Guadalajara, at least 5,504 of the 9,282 registered businesses strongly pollute. It is believed small and mid-sized businesses pollute the most since they don't have proper waste disposal. Since 2009, Aguascalientes has had 483 sanctions, Nayarit 43, Zacatecas 41, and Jalisco 204.",9,Longer than one year,Joint federal plan to reduce industrial pollution; surprise inspections; create sanctions to hold government institutions accountable for proper regulation.,,https://www.informador.mx/Relajan-multas-por-contaminar-el-rio-Santiago-l201802060001.html,Relajan multas por contaminar el rAo Santiago,
3/16/2018 16:29:26,,Water pollution,Valle del Rio Tijuana,US Border Patrol has reported health issues due to water pollution of the Tijuana river where untreated waste water is dumped. US state and EPA have not helped. Mexican government has solicited private enterprises to find a solution.,6,About one year,Regulation,,http://www.hoylosangeles.com/latimesespanol/la-es-agentes-de-la-patrulla-fronteriza-afirman-que-la-contaminacion-del-rio-tijuana-los-esta-enfermando-20180307-story.html,Agentes de la Patrulla Fronteriza afirman que la contaminaciA3n del RAo Tijuana los estA! enfermando,
3/16/2018 17:52:17,,"Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics)",Jalisco,"Congress of Jalisco requested a law to prohibit peticides. Jalisco has the fourth highest place in population with renal, neuronal, and cancerous illnesses related to food contaminants. Out of the 225 contaminants prohibited by the WHO, 90% are still used in Mexico. International and national laws relating to the issue are not enforced to to economic incentives.",5,Longer than one year,Prohibit contaminating chemicals,,https://www.eloccidental.com.mx/local/bebemos-y-comemos-plaguicidas-y-pesticidas,Bebemos y comemos plaguicidas y pesticidas,
3/16/2018 18:04:00,,Murder of environmental activist,"Chicomusuelo, Chiapas","Environmentalist Mariano Abarca Roblero, who protested the illegal activity of canadian mine company Blackfire Exploration in the Sierra Madre of Chiapas, was shot and murdered in 2009 in Chicomuselo.  Shortly after the murder the mine was shurt down for environmental violations. The government of Canada is being sued since the Canadian embassy knew Abarca was being threatened and chose to support their own company and interests.",5,Longer than one year,Stop illegal activity of Canadian mines; pay reparations.,,http://www.proceso.com.mx/521330/llevan-canada-reclamo-de-justicia-por-asesinato-del-ambientalista-mariano-abarca-roblero-en-chiapas,Llevan a CanadA! reclamo de justicia por asesinato del ambientalista Mariano Abarca Roblero en Chiapas,
4/3/2018 11:38:47,,Water pollution,"Comunidad ecolA3gica Jardines de La Mintzita. Michoacan, Morelia. ","Due to the growth in urbanization, water from aLa Mintzitaa is being polluted due to the waste waters from several communities.",6,Longer than one year,"Check specifically where the waste waters are coming from, and request water treatments.",,https://primeraplananoticias.mx/portal/morelia-la-mintzita-padece-severa-contaminacion-denuncian-colonos/,Pollution of water by the discharge of polluted water from factories,
4/3/2018 12:00:43,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Water pollution, Industrial belts (e.g, hazardous companies)","BioPapel Scribe planta Morelia at: Morelia, MichoacA!n, Mexico. Near community la Mintzita.","The paper company once named CEPAMISA, now divided into two separate companies: Kimberly Clark and Scribe, are using hazardous materials and releasing them into the environment affecting communities and one of the most important water sources for Morelia. ",9,Longer than one year,There is no simple solution for this problem because huge companies are involved and the government has a reputation of not acting against this type of companies. One way could be by asking for monthly reports of the management of the waste and pollution they are emitting and create policies according to the right standards to respect the right of the people being affected by this.,https://drive.google.com/open?id=1n7dOtUI20NRPQ-NuhKMYtlPmPIE8K92J,https://www.change.org/p/profepa-alto-a-la-contaminacion-de-morelia-fuera-crisoba-cepamisa-queremos-aire-y-agua-puros,Alto a la contaminaciA3n de Morelia. Fuera Crisoba.,1/1/2009
4/3/2018 12:12:56,,"Biomass and land conflicts (e.g, including deforestation and land grabs)",Universidad Autonoma de Aguascalientes,State government of Aguascalientes donates 500 trees to the Autonomous University of Aguascalientes. The university continues their reforestation projects. The collaboration between the university and the government is seen as beneficial for furthering environmental and sustanability efforts.,5,"One week, it just emerged","This is a positive thing, continue reforestation.",,http://www.lja.mx/2018/03/autonoma-aguascalientes-continua-reforestacion-donacion-500-arboles/,AutA3noma de Aguascalientes continua reforestaciA3n con donaciA3n de 500 arboles.,3/20/2018
4/3/2018 12:18:58,,"Biomass and land conflicts (e.g, including deforestation and land grabs), Infrastructure projects (e.g, oil and gas pipelines)","Bosque de Cobos, Aguascalientes","Bosque de Cobos is a natural site with 124 hectares of forest. A housing project of 11,000 homes is threatening to destroy 85% of this area. A meeting with government officials, professors, professionals and activist was held to argue against this project.",8,About one year,Find a different area for the housing project.,,http://www.lja.mx/2018/04/comparecen-ante-congreso-expertos-en-tema-cobos/,,
4/3/2018 12:24:08,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Aguascalientes, Aguascalientes","The city of Aguascalientes reaches 145 points in the Metropolitan Index of Air Quality (Imeca), with anything above 100 points considered bad air quality. This is mainly attributed to the near half a million cars registered to circulate in the city. Also the burning of tires for heat.",6,About one year,Better public transportation.,,http://www.hidrocalidodigital.com/local/articulo.php?idnota=134990,Reconoce Semarnat alza en niveles de contaminaciA3n del aire de Aguascalientes,
4/3/2018 12:31:14,,"Industrial belts (e.g, hazardous companies), Biodiversity conservation conflicts","Mexicali, Baja California","Mexicali, the sixth most contaminated city in Mexico, is found to be the first city with the most illnesses related to environmental issues. ",6,About one year,Air purifiers.,,http://www.lacronica.com/EdicionEnLinea/Notas/Noticias/13112017/1275232-Mex,11 navieras participan en el programa para proteger a las ballenas azules y mantener el cielo azul,12/11/2017
